"","GSM614501_Sample_1.CEL","GSM614502_Sample_2.CEL","GSM614503_Sample_3.CEL","GSM614504_Sample_4.CEL","GSM614505_Sample_5.CEL","GSM614506_Sample_6.CEL","GSM614507_Sample_7.CEL","GSM614508_Sample_8.CEL","GSM614509_Sample_9.CEL","GSM614510_Sample_10.CEL","GSM614511_Sample_11.CEL","GSM614512_Sample_12.CEL","GSM614513_Sample_13.CEL","GSM614514_Sample_14.CEL","GSM614515_Sample_15.CEL","GSM614516_Sample_16.CEL","GSM614517_Sample_17.CEL","GSM614518_Sample_18.CEL","GSM614519_Sample_19.CEL","GSM614520_Sample_20.CEL","GSM614521_Sample_21.CEL","GSM614522_Sample_22.CEL","GSM614523_Sample_23.CEL","GSM614524_Sample_24.CEL"
"ABAT",7.33941418381219,7.40370005441202,7.43256500849686,7.27719747252829,7.47426081331064,7.41856952769939,7.22879370630986,7.20774742370943,7.08701674059461,7.03067372027167,7.2229112162959,7.10644914099434,7.17459259208001,7.21267376022296,7.14968849183862,6.87149523632785,6.88259139967831,6.67968327971556,7.12495603081798,7.11573257448756,7.22519017561434,7.01952544910511,7.11692846953961,7.35710314863264
"ABCA1",5.18142968489324,5.28885979190253,5.20467213978345,5.16682501450879,5.3046436085608,5.27618430562429,5.77567911836256,5.67117791447934,5.60434026053738,5.70276277630196,5.87252177166046,5.63918310402418,4.875064267717,4.8795498477321,4.68899886455356,4.93882890596512,5.03633547157117,4.93449549868786,5.30054215977886,5.35039882279959,5.29250202624845,5.7357951624488,5.88717033772098,5.71690209177371
"ABCA11P",7.72465559939184,7.49083004214673,7.56766870283186,7.63700830276377,7.8309003586621,7.88542632739558,6.25297727347239,6.21919379871918,6.44323090793407,6.36800463092884,6.52394196347277,6.31663747577214,7.71219535074256,7.69764425515554,7.75369186992201,7.93075535831493,7.67855047736051,7.67495662365468,6.3340422523526,6.34501082871214,6.35763308949863,6.3022398604665,6.39491975358957,6.49920480139367
"ABCA12",3.34916016097705,3.29053485864535,3.39859398305575,3.19167957627074,3.3075295442036,3.45794799889228,3.34806882274919,3.3389323697917,3.28375890158376,3.31641300821869,3.31038995237308,3.33738877639974,3.3809232603959,3.3289546572317,3.42309752638726,3.2264945827366,3.1713513316236,3.36166092361727,3.22576624889808,3.36127206725572,3.35985892965927,3.40050169316783,3.07349421160625,3.75299800312908
"ABCA13",3.17618545784238,3.02222838156598,3.0191782850011,3.08818841093294,3.08742006010879,3.0715945942609,3.14349857369745,3.06314492239276,3.08786982955152,3.16936884873229,3.17837382684912,3.13570922660695,3.10244420816565,3.02007454805132,3.09398958491972,3.16016963758191,3.04386855653686,3.04236190665572,3.1320149015156,3.08536074367416,3.12839438627388,3.26520654886657,3.14008300915098,3.14230057439854
"ABCA17P",3.63482467657601,3.98252517761366,3.79174979340056,3.96450222159853,3.96580615366695,3.90782397883601,3.79032743528164,3.86356901913895,3.64597002746823,3.6823835422745,3.80525662964143,3.51053761369719,3.77823554486233,3.99759152890001,3.77686239753485,3.67779233156358,3.88781561256258,3.84219892432843,3.89352269751742,3.80531912026247,3.65957438277616,3.75568716267456,3.84804278570399,3.94126650835175
"ABCA2",5.9858645763439,5.99540928870018,5.99365944494729,5.91942826301132,6.03915870438185,6.10357109507178,6.14996757664948,6.37009682466423,6.08084315662009,6.29168831792227,6.36819280255612,6.47681863963574,6.02245728711892,6.05030834599725,6.18624959798382,5.82765984371265,6.04788449071745,6.03775467617376,6.04935614208939,6.13805281246759,6.0554281557159,6.12082365306443,6.08084315662009,6.20123228878692
"ABCA3",8.49948862206476,8.42649930304448,8.57120194761572,8.45993320553707,8.5422273297372,8.42730195783258,8.67903200203951,8.59563491725682,8.40145178759264,8.48430249268896,8.43575788623477,8.29169186099766,8.68720217513058,8.51632942984027,8.61155727213144,8.58055282458021,8.60815854901056,8.59814403401595,8.57059792435678,8.53504671772333,8.5789763123196,8.30837287849124,8.41087670536266,8.43326863966944
"ABCA4",7.62379605906721,7.46557189684942,7.52083775631653,7.47553212835407,7.49997057190217,7.42920332375031,5.50567309860504,5.66458384301271,5.81915900517085,5.28502501742022,5.52662076046116,5.28941907287084,7.55896350412638,7.63905489464496,7.58953800406404,7.64822431735763,7.61610977077268,7.7637941072883,5.5006133736654,5.55066653542993,5.49383846523593,5.71555899581796,5.57159504874797,5.31063301424965
"ABCA5",7.09379317163378,7.00176769451549,6.84627862109406,7.09046901554286,7.12022676552034,6.90227120147557,6.19584455931312,6.23371877265548,6.24655947007193,6.18960057160201,6.34010975945352,6.10961724807068,6.99062429695754,7.16764169804308,7.29456147832212,6.94853194463228,7.06237217946296,6.94768935163795,6.31413903907113,6.1081248210158,6.16609827169082,6.21846591708097,6.23476843974509,6.49935875717002
